crop_id	crop_family	crop_common_name	genus	species	subvariety	additional_description	synonyms	native_status	light_intensity	photoperiod	response_comment	woody_flag	growth_habit	maximum_annual_precipitation_mm	minimum_annual_precipitation_mm	absolute_maximum_temperature_celsius	absolute_minimum_temperature_celsius	optimum_maximum_temperature_celsius	optimum_minimum_temperature_celsius	minimum_growing_days	maximum_growing_days	soil_type_description	soil_texture_requirement_code	soil_drainage_requirement_description	soil_drainage_requirement_code	maximum_soil_ph	minimum_soil_ph	critical_minimum_winter_temperature_celsius	weed_flag
ACHMIL19	Asteraceae	Yarrow; Western yarrow	Achillea	millefolium							Subtropical dry summer is optimal. Diaphoretic.		Perennial	1530	200	45	2	30	15	120	180	Medium; coarse	MMCV	Well	W	8	6	-39	Weed
AGRCRI38	Poaceae	Wheatgrass - Crested	Agropyron	cristatum					Bright to clea	Long day	"Extremely high drought and cold resistance. Adapted to the drier areas of Alberta, especially Brown, Dark Brown and Black soil zones."		Perennial	450	150	45	5	25	15	90	240	Loamy clays	FM	Well	W	8	6	-38	
ALLCEP50	Liliaceae	Onion	Allium	cepa	var. cepa		A. cepa		Clear	"Long day, short day and day neutr"	"Best in cool temperatures during early growth and fairly high temps during bulbing, harvesting, and curling. Avoid heavy soils that crust. Best on acidic, sandy or muck soil."		Functional Annual/Biennial	600	350	29	7	24	12	85	175	"Sandy, muck, or acid peat soil"	MMCV	Well	W	7	6	-2	
ALLSAT57	Liliaceae	Garlic; Softneck garlic	Allium	sativum	var. sativum		A. sativum		Clear	Long day	Grown as annual in mild climates. Does not typically produce a seed Commonly used in California for commercial mass production. Some varieties suitable for cold climates. Best in areas of low levels of humid		Winter Annual	1600	750	35	5	30	18	90	280	Well drained sand or silt loam	MMCV	Well	W	7	6	-46	
ALOARU67	Poaceae	Foxtail - Creeping	Alopecurus	arundinaceus					Bright to clou	Long day	Prefers well drained soil of medium depth and high fertility. Low salinity tolerance.		Perennial	800	500	18	2	15	9	90	180	Medium textured soils	FM	Well	W	8	6	-40	
ALOPRA69	Poaceae	Foxtail - Meadow	Alopecurus	pratensis					Bright to clea	Long day	"Adapted to cool, moist climes, cold winter temps, and high summer temps."		Perennial	1000	600	32	2	22	9	90	180	"Medium, fine deep, moist, fertile s"	FM	Semi-Poor	P	8	6	-38	Weed
AMACRU77	Amaranthace	Amaranth - purple; Amaranth	Amaranthus	cruentus			A. hybridus cruentus; A. paniculatus		Bright	"Long day, short day and day neutr"	Prefers soils with high fertility soils and medium depth. Fair salinity and good drought tolerances.		Annual	2400	500	45	10	28	22	120	180	Loamy or loamy sand textures	MMC	Well	W	7	6	4	Weed
ANEGRA85	Apiaceae	Dill	Anethum	graveolens			A. sowa		Clear	Long day	"Wide range of climates, tropical to temperate at 60 lattitude. Probable origin south Asia."		Functional Annual/Biennial	1700	500	26	6	18	15	100	180	Medium	M	Well	W	7	6	-2	
ARMRUS98	Brassicacea	Horseradish	Armoracia	rusticana			A. lapathifolia; Cochlearia armoracia; Nasturtium armoracia		Bright to clea		Technically a perennial plant that is grown as an annual.		Annual/Perennial	900	600	38	5	28	14	150	210	Light to med	MMC	Semi-Poor	P	7	6	-35	
ARTDRA02	Asteraceae	Tarragon	Artemisia	dracunculus					Bright to clea	Long day			Perennial	1000	500	26	4	22	12	120	210	"Medium, light"	MMCV	Well	W	7	6	-15	
ASPOFF08	Liliaceae	Asparagus	Asparagus	officinalus					Bright	"Long day, short day and day neutr"	Prefers soils of medium depth and high fertility. Fair salt tolerance. Requires dormant period resulting from cold temperatures (soil temperature of 10 C) or dry conditions.		Perennial	1200	800	38	6	25	13	160	270	Deep sand or loam	MMCV	Well	W	8	7	-40	
ASTCIC10	Fabaceae	Cicer milk vetch	Astragalus	cicer					Bright to clou	Long day	Very cold tolerant and well suited for high temperatures and semi-arid regions. Suited to a wide range if soils.		Perennial	1524	455	30	5	25	14	120	180	Medium; loamy or poor soils	M	Semi-Poor	P	8	6	-42	
AVESAT23	Poaceae	Oat	Avena	sativa			A. byzantia		Very bright	"Long day, short day and day neutr"	Spring annual. Early red varieties less cold tolerant.		Annual	1655	635	30	5	20	16	100	120	Silt and clay loams	M	Very Well	W	9	6	0	
